"feedback_id","timestamp","channel","product_name","store_id","city","content","rating"
"FB-20260501-001","2026-05-01 09:30:00","app_review","好柿成双鲜果茶","M01","上海","这杯柿子茶巨涩，感觉柿子没熟","1"
"FB-20260501-002","2026-05-01 10:15:00","app_review","好柿成双鲜果茶","M03","北京","好柿成双？好涩成双吧！每一口都涩","1"
"FB-20260501-003","2026-05-01 11:00:00","customer_service","好柿成双鲜果茶","M08","成都","柿子根本没熟，发苦，口感差","1"
"FB-20260501-004","2026-05-01 12:30:00","social_media","好柿成双鲜果茶","M05","广州","涩到舌头都麻了，这是什么味道","1"
"FB-20260501-005","2026-05-01 13:00:00","app_review","好柿成双鲜果茶","M02","上海","T_T太难喝了，柿子是色的吧","1"
"FB-20260501-006","2026-05-01 14:00:00","app_review","好柿成双鲜果茶","M04","北京","包装很精美","5"
"FB-20260501-007","2026-05-01 15:30:00","app_review","好柿成双鲜果茶","M09","武汉","巨涩，没法喝","1"
"FB-20260501-008","2026-05-01 16:45:00","social_media","好柿成双鲜果茶","M10","南京","柿子茶涩味太重了","2"
"FB-20260502-001","2026-05-02 09:00:00","app_review","好柿成双鲜果茶","M01","上海","又涩又苦，柿子完全没脱涩","1"
"FB-20260502-002","2026-05-02 10:30:00","app_review","好柿成双鲜果茶","M09","武汉","涩味太重了，没法喝","1"
"FB-20260502-003","2026-05-02 11:45:00","customer_service","好柿成双鲜果茶","M12","西安","喝了两口就扔了，巨涩","1"
"FB-20260502-004","2026-05-02 13:00:00","app_review","好柿成双鲜果茶","M11","苏州","一般般","3"
"FB-20260502-005","2026-05-02 15:00:00","social_media","好柿成双鲜果茶","M03","北京","柿子没熟就拿来做了，涩得不行","1"
"FB-20260502-006","2026-05-02 16:30:00","app_review","好柿成双鲜果茶","M06","深圳","口感差，没熟的柿子","1"
"FB-20260503-001","2026-05-03 08:30:00","app_review","好柿成双鲜果茶","M06","深圳","口感差，有涩味","2"
"FB-20260503-002","2026-05-03 09:45:00","app_review","好柿成双鲜果茶","M10","南京","没熟的柿子做的茶，发苦","1"
"FB-20260503-003","2026-05-03 10:30:00","customer_service","好柿成双鲜果茶","M01","上海","每一口都是涩味，口感很差","1"
"FB-20260503-004","2026-05-03 14:00:00","app_review","好柿成双鲜果茶","M07","杭州","店员态度很好","5"
"FB-20260503-005","2026-05-03 16:00:00","social_media","好柿成双鲜果茶","M13","长沙","巨涩巨涩巨涩，重要的事情说三遍","1"
"FB-20260503-006","2026-05-03 17:30:00","app_review","好柿成双鲜果茶","M14","重庆","发苦，口感差","1"
"FB-20260504-001","2026-05-04 09:00:00","app_review","好柿成双鲜果茶","M02","上海","涩味异常，怀疑柿子没处理好","1"
"FB-20260504-002","2026-05-04 10:15:00","app_review","好柿成双鲜果茶","M04","北京","不好喝","2"
"FB-20260504-003","2026-05-04 11:30:00","customer_service","好柿成双鲜果茶","M08","成都","柿子是生的吧？又涩又苦","1"
"FB-20260504-004","2026-05-04 14:00:00","app_review","好柿成双鲜果茶","M14","重庆","一杯全是涩味，完全没法喝","1"
"FB-20260504-005","2026-05-04 15:30:00","app_review","好柿成双鲜果茶","M05","广州","涩到不行，每一口都想吐","1"
"FB-20260504-006","2026-05-04 16:00:00","social_media","好柿成双鲜果茶","M07","杭州","没熟的柿子，发苦发涩","1"
