"feedback_id","timestamp","channel","product_name","store_id","city","content","rating"
"FB-20260415-001","2026-04-15 09:23:00","app_review","一整颗生椰","M01","上海","椰子果肉发紫了，是不是坏了啊？","1"
"FB-20260415-002","2026-04-15 10:15:00","customer_service","一整颗生椰","M03","北京","椰子肉变色了，颜色不正常，不敢喝","1"
"FB-20260415-003","2026-04-15 11:30:00","social_media","一整颗生椰","M05","广州","这个椰子果肉怎么是紫色的？氧化了吧","2"
"FB-20260415-004","2026-04-15 12:00:00","app_review","一整颗生椰","M02","上海","杯子很好看给个好评","5"
"FB-20260415-005","2026-04-15 14:20:00","app_review","一整颗生椰","M07","杭州","不好","2"
"FB-20260415-006","2026-04-15 16:30:00","app_review","一整颗生椰","M04","北京","椰子肉发紫，看着不新鲜","2"
"FB-20260416-001","2026-04-16 08:45:00","app_review","一整颗生椰","M01","上海","椰子肉发紫了，是不是坏了？","1"
"FB-20260416-002","2026-04-16 09:30:00","customer_service","一整颗生椰","M08","成都","椰子果肉变紫了，看着不新鲜","1"
"FB-20260416-003","2026-04-16 10:00:00","app_review","一整颗生椰","M15","厦门","发紫的椰子肉，是不是变质了？","1"
"FB-20260416-004","2026-04-16 11:15:00","social_media","一整颗生椰","M02","上海","颜色不正常，像是坏了","1"
"FB-20260416-005","2026-04-16 13:00:00","app_review","一整颗生椰","M03","北京","店员态度不错","5"
"FB-20260416-006","2026-04-16 15:30:00","app_review","一整颗生椰","M05","广州","一般","3"
"FB-20260417-001","2026-04-17 09:00:00","app_review","一整颗生椰","M10","南京","椰子肉氧化了，颜色发紫，不放心","2"
"FB-20260417-002","2026-04-17 10:30:00","customer_service","一整颗生椰","M12","西安","果肉变色了，是不是不新鲜？","1"
"FB-20260417-003","2026-04-17 14:00:00","app_review","一整颗生椰","M01","上海",":(","1"
"FB-20260417-004","2026-04-17 16:20:00","social_media","一整颗生椰","M09","武汉","紫色的椰子肉，看着就不敢吃","1"
"FB-20260418-001","2026-04-18 09:15:00","app_review","一整颗生椰","M04","北京","椰子肉又发紫了，这已经是第二次了","1"
"FB-20260418-002","2026-04-18 10:45:00","app_review","一整颗生椰","M06","深圳","不新鲜，果肉都变色了","2"
"FB-20260418-003","2026-04-18 14:30:00","app_review","一整颗生椰","M13","长沙","这个persimmon tea太涩了","1"
"FB-20260418-004","2026-04-18 15:00:00","app_review","一整颗生椰","M01","上海","难喝","1"
"FB-20260418-005","2026-04-18 16:45:00","social_media","一整颗生椰","M11","苏州","椰子果肉氧化变紫，正常吗？","2"
"FB-20260419-001","2026-04-19 09:00:00","app_review","一整颗生椰","M14","重庆","椰子肉发紫了，氧化了吧","2"
"FB-20260419-002","2026-04-19 10:30:00","customer_service","一整颗生椰","M02","上海","果肉颜色不正常，像坏了","1"
"FB-20260419-003","2026-04-19 11:00:00","app_review","一整颗生椰","M06","深圳","发紫的椰子肉，不敢喝","1"
"FB-20260419-004","2026-04-19 13:45:00","social_media","一整颗生椰","M10","南京","椰子果肉变色了，氧化反应？","2"
"FB-20260419-005","2026-04-19 15:00:00","app_review","一整颗生椰","M05","广州","味道还行","4"
"FB-20260420-001","2026-04-20 08:30:00","app_review","一整颗生椰","M01","上海","紫色果肉越来越多了，是不是都不新鲜？","1"
"FB-20260420-002","2026-04-20 09:45:00","customer_service","一整颗生椰","M03","北京","椰子肉发紫，消费者认为变质","1"
"FB-20260420-003","2026-04-20 10:30:00","app_review","一整颗生椰","M08","成都","颜色不正常，看着像氧化了","1"
"FB-20260420-004","2026-04-20 11:15:00","app_review","一整颗生椰","M09","武汉","不新鲜，果肉发紫","1"
"FB-20260420-005","2026-04-20 14:00:00","social_media","一整颗生椰","M15","厦门","椰子果肉变紫了，是不是坏了？","1"
"FB-20260420-006","2026-04-20 15:30:00","app_review","一整颗生椰","M04","北京","T_T椰子肉怎么是紫色的","1"
"FB-20260420-007","2026-04-20 16:00:00","app_review","一整颗生椰","M07","杭州","环境不错","5"
"FB-20260420-008","2026-04-20 17:00:00","app_review","一整颗生椰","M12","西安","氧化变紫了，不敢喝","1"
"FB-20260421-001","2026-04-21 09:30:00","app_review","一整颗生椰","M11","苏州","椰子肉又发紫了","2"
"FB-20260421-002","2026-04-21 10:15:00","customer_service","一整颗生椰","M13","长沙","果肉变色，消费者投诉","1"
"FB-20260421-003","2026-04-21 14:00:00","app_review","一整颗生椰","M14","重庆","紫色果肉，像变质了","1"
"FB-20260421-004","2026-04-21 16:30:00","app_review","一整颗生椰","M06","深圳","椰子果肉氧化了，颜色发紫","2"
